on	zapnout
PCD - Kodak Photo CD (384x256)	PCD - Kodak Photo CD (384x256)
PCD - Kodak Photo CD (192x128)	PCD - Kodak Photo CD (192x128)
PC Nostalgia	PC nostalgie
pc	pc
PBM - Portable Bitmap	PBM - Portable Bitmap
Artificial Turf	Pažit neboli trávník
Serif	Patkové písmo
Serif	Patkové písmo
Bottom of character	Pata znaku
Fifth Outline Level	Pátá úroveň osnovy
Bottom of line	Pata řádku
Chart Floor...	Pata grafu...
Chart Floor	Pata grafu
Pastel	Pastel
SpouseIntr	PartZájmy
SpouseName	PartnerJméno
Inscriptional Parthian	Parthské psané
Pair kerning	Párový kerning
Pair Kerning	Párový kerning
Partial	Parciální
Parameters...	Parametry...
Slide parameter	Parametry snímku
Parameters do not correspond to procedure.	Parametry procedury neodpovídají.
Options for high contrast appearance	Parametry pro zobrazení s vysokým kontrastem
Animation parameters	Parametry animace
Parameters	Parametry
Parameters	Parametry
parameter mu from dS/S = mu dt + vol dW	parametr mu z dS/S = mu dt + vol dW
Parameter mu from dS/S = mu dt + vol dW	Parametr mu z dS/S = mu dt + vol dW
parameter mu in dS/S = mu dt + vol dW	parametr mu v dS/S = mu dt + vol dW
Parameter mu in dS/S = mu dt + vol dW	Parametr mu v dS/S = mu dt + vol dW
stats	parametr
Parameter	Parametr
Parallel wrap	Paralelní obtékání
Net	Paprskový
Paper	Papír
Paper	Papír
Papiamentu (Netherlands Antilles)	Papiamento (Nizozemské Antily)
Papiamento (Curaçao)	Papiamento (Curaçao)
Papiamento (Bonaire)	Papiamento (Bonaire)
Papiamento (Aruba)	Papiamento (Aruba)
Panes	Panely
Panel: 	Panel: 
Task Pane	Panel úloh
Task Pane	Panel úloh
Page Pane	Panel stránky
Page Pane	Panel stránek
Slide Pane	Panel snímků
Slide Object Bar	Panel snímků
Tool Panel	Panel nástrojů
Punjabi	Paňdžábština
Memory per object	Paměť na objekt
Memory per object	Paměť na objekt
Memory (in MB):	Paměť (v MB):
Memory	Paměť
Pali Latin	Páli
Palettes	Palety
inch	palec
Inch	Palec
inches	palců
Inscriptional Pahlavi	Pahlavské psané
PAGES	PAGES
Pager	Pager
PAGE	PAGE
Fall	Pád
P-value	P-hodnota
Reporting Bugs &amp; Issues	Oznamování chyb a problémů
Error Report	Oznámení o chybě
Advertising application	Oznámení aplikace
Mark the default path for new files.	Označuje výchozí cestu pro nové soubory.
Mark glue points	Označit záchytné body
Label text with smart tags	Označit text inteligentními značkami
Mark Precedents	Označit předchůdce
Mark objects	Označit objekty
Mark invalid data	Označit neplatná data
Mark Invalid Data	Označit neplatná data
Mark Dependents	Označit následníky
Mark additional glue points	Označit další záchytné body
Mark additional objects	Označit další objekty
Mark additional points	Označit další body
Mark points	Označit body
Mark:	Označení:
Mark	Označení
Screen Beans	Ozdoby na obrazovku
Oxygen	Oxygen
Angle control	Ovládání úhlu
Corner control	Ovládání rohu
Contour control	Ovládání obrysu
Cursor control	Ovládání kurzoru
Drivers known in %PRODUCTNAME	Ovladače známé v %PRODUCTNAME
Drivers known in %PRODUCTNAME	Ovladače známé pro %PRODUCTNAME
Driver:	Ovladač:
MySQL JDBC driver class	Ovladač typu MySQL JDBC
The driver does not support this function.	Ovladač nepodporuje tuto funkci.
Mozilla Address Book Driver	Ovladač adresáře Mozilla
The Adobe Distiller(tm) driver	Ovladač Adobe Distiller(tm)
Report Controls	Ovládací prvky sestavy
FormControls	Ovládací prvky formuláře
Form controls	Ovládací prvky formuláře
Form Controls	Ovládací prvky formuláře
Form controls	Ovládací prvky formuláře
Control	Ovládací prvky
Controls	Ovládací prvky
Control...	Ovládací prvek...
Table Control	Ovládací prvek tabulky
ActiveX Control	Ovládací prvek ActiveX
Control (unknown type)	Ovládací prvek (neznámý)
Control	Ovládací prvek
Image Control	Ovládací pole obrázku
Image Control	Ovládací pole obrázku
Validating install	Ověřování instalace
Test XSLTs...	Ověřit XSLT...
Checked by	Ověřil
Second Password	Ověření hesla
Ellipsoid blue gray/light blue	Oválný modrošedý/světle modrý
Ellipsoid	Oválný
Oval	Ovál
Rotate all	Otočit vše
Rotate dimension value by 180 degree	Otočit text kóty o 180 stupňů
Rotate Text	Otočit text
Rotate Image	Otočit obrázek
Rotate 90° Right	Otočit o 90° doprava
Rotate 90° Right	Otočit o 90° doprava
Rotate 90° Left	Otočit o 90° doleva
Rotate 90° Left	Otočit o 90° doleva
Rotate counterclockwise by 45 degrees.	Otočit o 45° proti směru hodinových ručiček.
Rotate 3D object	Otočit 3D objekt
Rotate %1	Otočit %1
Spin	Otočit
Rotate	Otočit
Rotate	Otočit
Rotation:	Otočení:
Z rotation	Otočení Z
Y rotation	Otočení Y
X rotation	Otočení X
Center Revolve	Otočení od středu
Turn down	Otočení dolů
Turn around	Otočení dokola
Rotation / Scaling	Otočení / škálování
Rotation	Otočení
Thumbprint SHA1	Otisk SHA1
Thumbprint MD5	Otisk MD5
Open...	Otevřít...
Load...	Otevřít...
Open...	Otevřít...
Open Movie and Sound	Otevřít video nebo zvuk
Open in Design Mode	Otevřít v režimu návrhu
Open in full screen mode	Otevřít v režimu na celou obrazovku
Open in New Window	Otevřít v novém okně
Open with Internet browser	Otevřít v internetovém prohlížeči
Open File	Otevřít soubor
Open File	Otevřít soubor
Opens the view wizard	Otevřít průvodce pohledem
Open newly created presentation	Otevřít nově vytvořenou prezentaci
Open Smart Tag Menu	Otevřít nabídku inteligentních značek
Open Smart Tag Menu	Otevřít nabídku inteligentních značek
Open on page	Otevřít na stránce
Open on page	Otevřít na stránce
Visit Firefox Themes	Otevřít motivy vzhledu pro Firefox
Open Copy	Otevřít kopii
Open Read-Only	Otevřít jen pro čtení
Open file read-only	Otevřít jen pro čtení
Open file read-only	Otevřít jen pro čtení
Open Hyperlink	Otevřít hypertextový odkaz
Open existing presentation	Otevřít existující prezentaci
Open an existing database file	Otevřít existující databázový soubor
Open document/web page	Otevřít dokument/web stránku
Open Document...	Otevřít dokument...
Open Document	Otevřít dokument
Open Database Object...	Otevřít databázový objekt...
Open the database for editing	Otevřít databázi pro úpravy
Open Package...	Otevřít balík...
Open Package...	Otevřít balíček...
Open with PDF reader application	Otevřít aplikací pro čtení PDF
Open	Otevřít
Open	Otevřít
Open a Writer document.	Otevřete dokument Writeru.
Open Circle Vertical	Otevřený kruh svislý
Open Circle (Curve)	Otevřený kruh (křivka)
Open Circle (Pour)	Otevřený kruh (dovnitř)
Open Circle	Otevřený kruh
Test class	Otestovat třídu
Test Class	Otestovat třídu
Test Connection	Otestovat spojení
Test Connection	Otestovat spojení
Test Settings...	Otestovat nastavení...
Test Account Settings	Otestovat nastavení účtu
Swivel	Otáčet
Axes...	Osy...
Axes	Osy
Lighting	Osvětlení
Illumination	Osvětlení
Extrusion Lighting	Osvětlení
Blackberry Bush	Ostružiník
miter	ostré
Other:	Ostatní:
Other OLE Objects	Ostatní objekty OLE
Other Business Documents	Ostatní obchodní dokumenty
Other Settings	Ostatní nastavení
Other options	Ostatní možnosti
Other Options	Ostatní možnosti
Miscellaneous options	Ostatní možnosti
Other	Ostatní
Others	Ostatní
Others	Ostatní
Personal Correspondence and Documents	Osobní korespondence a dokumenty
Personal Fax	Osobní fax
Personal letter	Osobní dopis
Personal certificates	Osobní certifikáty
Personal Address book	Osobní adresář
Personal	Osobní
PersonID	OsobaID
Outline: Level 	Osnova: Úroveň
Outline to Clipboard	Osnova do schránky
Outline to Presentation	Osnova do prezentace
Outline & Numbering	Osnova a číslování
Outline	Osnova
Outline 	Osnova
Outline	Osnova
Octagon	Osmiúhelník
Vertical Figure 8	Osmička
8 Point Star	Osmicípá hvězda
8-Point Star	Osmicípá hvězda
Osmanya	Osmanské
Eighth Outline Level	Osmá úroveň textu
Salutation	Oslovení
Salutation	Oslovení
Pool Party	Oslava
Z Axis...	Osa Z...
Z Axis	Osa Z
Z axis	Osa Z
Y Axis...	Osa Y...
Y Axis	Osa Y
Y axis	Osa Y
X Axis...	Osa X...
X axis with Categories	Osa X s kategoriemi
X Axis	Osa X
X axis	Osa X
Axis between categories	Osa mezi kategoriemi
Axis	Osa
Axis	Osa
OS/2 Metafile	OS/2 Metafile
Crop Image...	Oříznout obrázek...
Crop Picture...	Oříznout obrázek...
Crop Image	Oříznout obrázek
Crop Picture	Oříznout obrázek
Crop %O	Oříznout %O
Crop	Oříznout
Peanut	Oříšek
Oromo	Oromština
Original	Originál
Orientation:	Orientace:
Text orientation:	Orientace textu:
Text orientation	Orientace textu
Text orientation	Orientace textu
Paper orientation	Orientace papíru
Envelope orientation	Orientace obálky
Orientation	Orientace
toolbutton1	Orientace
Orientation	Orientace
OrgName	OrgNázev
Organize arrow styles	Organizovat styly šipek
Organizer...	Organizátor...
Organizer...	Organizátor...
%PRODUCTNAME Basic Macro Organizer...	Organizátor maker %PRODUCTNAME Basic...
%PRODUCTNAME Basic Macro Organizer	Organizátor maker %PRODUCTNAME Basic
Organizer	Organizátor
OrganizationName	OrganizaceNázev
Organization	Organizace
Organization	Organizace
Orange Gradient	Oranžový přechod
Orange Square	Oranžový čtverec
Orange & Blue	Oranžová a modrá
orange	oranžová
Orange	Oranžová
Oracle Report Builder	Oracle Report Builder
Oracle JDBC	Oracle JDBC
or	or
OR	OR
Exit Fill Mode	Opustit vyplňovací režim
Exit All Groups	Opustit všechny skupiny
Exit group	Opustit skupinu
Exit Group	Opustit skupinu
Leave Full-Screen Mode	Opustit celoobrazovkový režim
OPTTOUCH	OPTTOUCH
OPTPROBINMONEY	OPTPROBINMONEY
OPTPROBHIT	OPTPROBHIT
Optimal view	Optimální zobrazení
Optimal Height...	Optimální výška...
Optimal Row Height...	Optimální výška řádku...
Optimal Row Height	Optimální výška řádku
Optimal Height	Optimální výška
Optimal Width...	Optimální šířka...
Optimal Column Width...	Optimální šířka sloupce...
Optimal Column Width	Optimální šířka sloupce
Optimal Width 	Optimální šířka 
Optimal Page Wrap	Optimální obtékání stránky
Optimal wrap	Optimální obtékání
Optimal	Optimální
Optimal	Optimální
Optimize the layout for screen resolution:	Optimalizovat vzhled pro velikost obrazovky:
Optimize result to	Optimalizovat výsledek na
Size optimization for ODF format	Optimalizovat formát ODF pro velikost
Optimize	Optimalizovat
Print optimized	Optimalizováno pro tisk
Projector optimized	Optimalizováno pro projektor
Screen optimized (smallest file size)	Optimalizováno pro monitor (nejmenší velikost souboru)
Objects optimized	Optimalizováno objektů
Optimizing graphics...	Optimalizace obrázků...
Optical Character Recognition	Optické rozpoznávání znaků
OPTBARRIER	OPTBARRIER
Correct All	Opravit vše
Correct TWo INitial CApitals	Opravit první DVě VElká písmena
Correct accidental use of cAPS LOCK key	Opravit náhodné použití cAPS LOCK klávesy
Correct	Opravit
Do you want to delete the selected folders?	Opravdu chcete vybrané složky smazat?
Are you sure you want to delete the footer?	Opravdu chcete smazat zápatí?
Are you sure you want to delete the header?	Opravdu chcete smazat záhlaví?
Do you really want to delete all images?	Opravdu chcete smazat všechny obrázky?
Do you really want to delete the user?	Opravdu chcete smazat tohoto uživatele?
Do you really want to delete Style $1?	Opravdu chcete smazat styl $1?
Do you want to delete the linked file?	Opravdu chcete smazat propojený soubor?
Do you really want to delete the entry #?	Opravdu chcete smazat položku #?
Are you sure to delete the image?	Opravdu chcete smazat obrázek?
Are you sure you want to delete the bitmap?	Opravdu chcete rastr smazat?
Do you really want to remove this printer ?	Opravdu chcete odstranit tuto tiskárnu?
Are you sure you want to cancel?	Opravdu chcete instalaci ukončit?
Text Correction	Oprava textu
Patching files	Oprava souborů
Operators	Operátory
Operators	Operátory
Operator	Operátor
Operator	Operátor
Operations:	Operace:
The tell operation could not be run.	Operace tell nemůže být spuštěna.
The record operation has been vetoed.	Operace se záznamem byla odmítnuta.
The operation on the file was aborted.	Operace se souborem byla přerušena.
Operation not implemented.	Operace není implementována.
This might take a moment.	Operace může trvat trochu déle.
Operations	Operace
OpenOffice.org legacy	OpenOffice.org
LanguageTool Open Source language checker	Open source kontrola gramatiky LanguageTool
Repeats text a given number of times.	Opakuje řetězec tolikrát
repeat|forever	opakuj|pořád
Repeat: 	Opakovat: 
Repeat:	Opakovat:
Repeat alignment	Opakovat zarovnání
Repeat heading	Opakovat záhlaví
Repeat heading	Opakovat záhlaví
Repeat column	Opakovat sloupec
Columns to repeat	Opakovat sloupce
Repeat Section	Opakovat sekci
Repeat Heading Rows on new pages	Opakovat řádky záhlaví na nových stránkách
Heading rows repeat	Opakovat řádky záhlaví
Rows to repeat	Opakovat řádky
Repeat row	Opakovat řádek
Repeat on each page	Opakovat na každé stránce
Repeat search	Opakovat hledání
Repeat Search	Opakovat hledání
Loop until next sound	Opakovat do dalšího zvuku
Loop until next sound	Opakovat do dalšího zvuku
Actions to redo: $(ARG1)	Opakovat akce: $(ARG1)
Repeat	Opakovat
Repeat	Opakovat
More spaces	Opakované mezery
Duplication within clauses	Opakovaná slova ve větách
Duplication within sentences	Opakovaná slova v souvětích
Word duplication	Opakovaná slova
Swish	Opadat
OnlineUpdate	Online aktualizace
Online Update	Online aktualizace
omicron	omicron
OMICRON	OMICRON
Limiting conditions	Omezující podmínky
Reduce transparency	Omezit průhlednost
Limit decimals for general number format	Omezit počet desetinných míst pro obecný formát čísel
Limit to:	Omezit na:
Limit to	Omezit na
Restricted	Omezeno
Limit branch-and-bound depth	Omezení hloubky větví a mezí
Reduce print data	Omezení dat pro tisk
The constraint '$1' not validated.	Omezení '$1' není platné.
Constraint	Omezení
Constraint	Omezení
omega	omega
OMEGA	OMEGA
Olonets	Oloněčtina
olive	olivová
OLE Objects	OLE objekty
OLE	OLE
Ol Chiki	Ol Chiki
Margin:	Okraje:
Object borders	Okraje objektů
Margin	Okraje
Borders	Okraje
Margins	Okraje
Borders	Okraje
toolbutton2	Okraje
Border:	Okraj:
Margin	Okraj
Preview Window	Okno náhledu
Window	Okno
Window	Okno
Occitan	Okcitánština
Occitan spelling dictionary	Okcitánský slovník pro kontrolu pravopisu
Insert data immediately	Okamžitě vkládat data
Instant	Okamžitě
OK	OK
Sheet protection	Ochrana listu
Document protection	Ochrana dokumentu
Protection	Ochrana
Right Border	Ohraničení vpravo
Left and Right Borders	Ohraničení vlevo a vpravo
Left Border	Ohraničení vlevo
Diagonal Up Border	Ohraničení úhlopříčně nahoru
Diagonal Down Border	Ohraničení úhlopříčně dolů
Set Left and Right Borders Only	Ohraničení pouze vlevo a vpravo
Set Left Border Only	Ohraničení pouze vlevo
Set Top and Bottom Borders Only	Ohraničení pouze nahoře a dole
